id,transaction_id,account_address,mint_address,pre_balance,post_balance,balance_delta
5453,3876,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9002135171,9002127774,-7397
5452,3875,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9001898035,9001890635,-7400
5451,3874,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9002142572,9002135171,-7401
5450,3873,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9002149969,9002142572,-7397
5449,3872,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017595996,9017588597,-7399
5448,3871,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017604157,9017595996,-8161
5447,3870,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017611556,9017604157,-7399
5446,3869,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017618954,9017611556,-7398
5445,3868,3Hf2iC8EjHGPDfUdbVFuNvdLf8tjEUyqA5R2GE62avJJ,,0,1100000,1100000
5444,3868,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017634858,9016529858,-1105000
5443,3867,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017642257,9017634858,-7399
5442,3866,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017649654,9017642257,-7397
5441,3865,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017657054,9017649654,-7400
5440,3864,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017664455,9017657054,-7401
5439,3863,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017671854,9017664455,-7399
5438,3862,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017679253,9017671854,-7399
5437,3861,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017686652,9017679253,-7399
5436,3860,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017694051,9017686652,-7399
5435,3859,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017701449,9017694051,-7398
5434,3858,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017708846,9017701449,-7397
5433,3857,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017716244,9017708846,-7398
5432,3856,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017723644,9017716244,-7400
5431,3855,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017731042,9017723644,-7398
5430,3854,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017738439,9017731042,-7397
5429,3853,3vYWYLnaxQjSvT3Ne75SSjt9GU6HGFmPm1veZaCwTVnx,,0,1100000,1100000
5428,3853,VUUXnZKyT1Zn2Tcr217sTdXymzyJ2Xs34k28Lnqtto9,,9017753552,9016648552,-1105000
